iter	RMSE
0	11349.07095
1	10043.15067
2	8998.622603
3	8194.790494
4	7540.576305
5	7062.70151
6	6697.589728
7	6387.839792
8	6154.091861
9	5925.489265
10	5747.820989
11	5597.421289
12	5478.441016
13	5375.154822
14	5277.902277
15	5187.132599
16	5093.677553
17	5034.387428
18	4953.263553
19	4878.757636
20	4822.196242
21	4759.076312
22	4707.34911
23	4663.232439
24	4612.223521
25	4568.474459
26	4552.789433
27	4537.989086
28	4491.914092
29	4476.168734
30	4442.650136
31	4402.201665
32	4390.34776
33	4354.230891
34	4340.782806
35	4305.554412
36	4275.155486
37	4242.477387
38	4211.386862
39	4178.34393
40	4157.969338
41	4149.778032
42	4124.891185
43	4106.953979
44	4088.125823
45	4070.712323
46	4063.676667
47	4055.021845
48	4030.60256
49	4006.795486
50	4000.765837
51	3971.386275
52	3948.580125
53	3920.744626
54	3912.639495
55	3893.104949
56	3880.42061
57	3875.401455
58	3854.146954
59	3832.380414
60	3814.922875
61	3810.325348
62	3789.774449
63	3778.795008
64	3761.807458
65	3742.724829
66	3738.274606
67	3728.047029
68	3709.456932
69	3690.401197
70	3680.158262
71	3674.615179
72	3661.324109
73	3647.919401
74	3644.58517
75	3626.71927
76	3616.770895
77	3595.015591
78	3579.314542
79	3575.940802
80	3560.383427
81	3545.289164
82	3526.971224
83	3516.931078
84	3494.947718
85	3485.152952
86	3482.223586
87	3468.301542
88	3461.103712
89	3452.141296
90	3449.181714
91	3443.184093
92	3430.979265
93	3417.925149
94	3408.730081
95	3405.556113
96	3398.402959
97	3382.663104
98	3376.670313
99	3358.078047
