iter	Passed	Remaining
0	2	289
1	16	806
2	28	937
3	41	1002
4	54	1040
5	66	1043
6	80	1074
7	92	1066
8	104	1059
9	117	1056
10	130	1058
11	142	1046
12	155	1041
13	168	1036
14	180	1024
15	193	1016
16	205	1003
17	218	996
18	231	988
19	244	979
20	257	969
21	270	960
22	283	950
23	295	936
24	308	926
25	320	913
26	333	901
27	345	888
28	357	875
29	370	863
30	382	851
31	395	839
32	406	826
33	420	815
34	433	804
35	446	793
36	458	780
37	470	768
38	483	755
39	495	742
40	507	730
41	519	718
42	532	705
43	544	693
44	557	681
45	570	669
46	582	656
47	595	645
48	607	632
49	620	620
50	633	608
51	646	596
52	659	585
53	671	572
54	684	560
55	697	548
56	710	536
57	722	523
58	734	510
59	747	498
60	760	486
61	772	473
62	784	460
63	797	448
64	809	435
65	822	423
66	835	411
67	847	398
68	858	385
69	871	373
70	884	361
71	896	348
72	908	336
73	920	323
74	932	310
75	945	298
76	957	285
77	970	273
78	982	261
79	995	248
80	1007	236
81	1020	223
82	1033	211
83	1046	199
84	1061	187
85	1078	175
86	1095	163
87	1109	151
88	1121	138
89	1135	126
90	1147	113
91	1160	100
92	1173	88
93	1185	75
94	1198	63
95	1211	50
96	1223	37
97	1236	25
98	1249	12
99	1261	0
